post_id,title,category,score,num_comments,author,collected_at
47714770,Show HN: Run GUIs as Scripts,entertainment,17,7,zero-st4rs,2026-04-14 23:18:21.497524
47763185,An open letter to the UK Government on digital privacy,worldnews,17,4,vsajip,2026-04-14 23:19:53.428874
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,15,1,Bender,2026-04-14 23:19:16.301338
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,14,1,cebert,2026-04-14 23:19:59.758022
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,14,2,plonkus,2026-04-14 23:24:26.480010
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 23:22:15.073180
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 23:25:34.348199
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 23:27:25.464948
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,10,4,derstruct,2026-04-14 23:19:27.031666
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,9,0,matthest,2026-04-14 23:28:19.339438
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 23:23:49.696807
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,6,4,whitemanv,2026-04-14 23:20:20.824805
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 23:25:56.999252
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 23:22:39.294480
47764833,Stanford HAI Index Report 2026,technology,5,1,giuliomagnifico,2026-04-14 23:18:43.656108
47764690,Amazon to Buy Satellite Operator Globalstar,worldnews,5,0,marc__1,2026-04-14 23:20:36.973249
47767593,Stolen Rockstar Games analytics data leaked by extortion gang,technology,5,1,Brajeshwar,2026-04-14 23:19:03.286105
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 23:22:56.474430
47737387,Show HN: Bullseye2D – A Dart library for cross-platform 2D games,sports,4,1,joemanaco,2026-04-14 23:27:40.856988
